date,bitcoin,Iconic,Artex Coin,Orlycoin,TAGRcoin,isPartial
2016-12-18,4,1,0,0,0,False
2016-12-25,5,1,0,0,0,False
2017-01-01,8,1,0,0,0,False
2017-01-08,6,1,0,0,0,False
2017-01-15,5,1,0,0,0,False
2017-01-22,5,1,0,0,0,False
2017-01-29,5,1,0,0,0,False
2017-02-05,5,1,0,0,0,False
2017-02-12,5,1,0,0,0,False
2017-02-19,5,1,0,0,0,False
2017-02-26,6,1,0,0,0,False
2017-03-05,7,1,0,0,0,False
2017-03-12,6,1,0,0,0,False
2017-03-19,6,1,0,0,0,False
2017-03-26,5,2,0,0,0,False
2017-04-02,5,1,0,0,0,False
2017-04-09,5,1,0,0,0,False
2017-04-16,5,2,0,0,0,False
2017-04-23,5,2,0,0,0,False
2017-04-30,8,2,0,0,0,False
2017-05-07,10,1,0,0,0,False
2017-05-14,13,2,0,0,0,False
2017-05-21,21,2,0,0,0,False
2017-05-28,13,2,0,0,0,False
2017-06-04,13,1,0,0,0,False
2017-06-11,14,1,0,0,0,False
2017-06-18,12,2,0,0,0,False
2017-06-25,12,2,0,0,0,False
2017-07-02,10,2,0,0,0,False
2017-07-09,11,1,0,0,0,False
2017-07-16,13,1,0,0,0,False
2017-07-23,12,1,0,0,0,False
2017-07-30,16,1,0,0,0,False
2017-08-06,16,2,0,0,0,False
2017-08-13,22,2,0,0,0,False
2017-08-20,18,1,0,0,0,False
2017-08-27,19,2,0,0,0,False
2017-09-03,20,2,0,0,0,False
2017-09-10,23,2,0,0,0,False
2017-09-17,18,2,0,0,0,False
2017-09-24,14,2,0,0,0,False
2017-10-01,14,2,0,0,0,False
2017-10-08,20,2,0,0,0,False
2017-10-15,21,2,0,0,0,False
2017-10-22,22,2,0,0,0,False
2017-10-29,30,2,0,0,0,False
2017-11-05,32,2,0,0,0,False
2017-11-12,34,2,0,0,0,False
2017-11-19,31,2,0,0,0,False
2017-11-26,71,2,0,0,0,False
2017-12-03,100,2,0,0,0,False
2017-12-10,99,2,0,0,0,True
