date,Elysium,isPartial
2016-12-25,67,False
2017-01-01,76,False
2017-01-08,100,False
2017-01-15,88,False
2017-01-22,62,False
2017-01-29,52,False
2017-02-05,56,False
2017-02-12,52,False
2017-02-19,52,False
2017-02-26,64,False
2017-03-05,43,False
2017-03-12,44,False
2017-03-19,52,False
2017-03-26,40,False
2017-04-02,39,False
2017-04-09,40,False
2017-04-16,46,False
2017-04-23,52,False
2017-04-30,49,False
2017-05-07,42,False
2017-05-14,42,False
2017-05-21,38,False
2017-05-28,39,False
2017-06-04,46,False
2017-06-11,56,False
2017-06-18,54,False
2017-06-25,60,False
2017-07-02,65,False
2017-07-09,57,False
2017-07-16,77,False
2017-07-23,60,False
2017-07-30,59,False
2017-08-06,56,False
2017-08-13,48,False
2017-08-20,49,False
2017-08-27,48,False
2017-09-03,45,False
2017-09-10,50,False
2017-09-17,50,False
2017-09-24,49,False
2017-10-01,56,False
2017-10-08,46,False
2017-10-15,61,False
2017-10-22,43,False
2017-10-29,41,False
2017-11-05,48,False
2017-11-12,53,False
2017-11-19,39,False
2017-11-26,44,False
2017-12-03,40,False
2017-12-10,40,False
2017-12-17,37,True
