date,GoldCoin,isPartial
2016-12-25,8,False
2017-01-01,14,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,16,False
2017-01-29,20,False
2017-02-05,7,False
2017-02-12,23,False
2017-02-19,3,False
2017-02-26,6,False
2017-03-05,16,False
2017-03-12,10,False
2017-03-19,7,False
2017-03-26,17,False
2017-04-02,7,False
2017-04-09,17,False
2017-04-16,10,False
2017-04-23,13,False
2017-04-30,13,False
2017-05-07,7,False
2017-05-14,10,False
2017-05-21,11,False
2017-05-28,11,False
2017-06-04,17,False
2017-06-11,11,False
2017-06-18,20,False
2017-06-25,14,False
2017-07-02,21,False
2017-07-09,28,False
2017-07-16,14,False
2017-07-23,10,False
2017-07-30,14,False
2017-08-06,34,False
2017-08-13,7,False
2017-08-20,0,False
2017-08-27,17,False
2017-09-03,44,False
2017-09-10,10,False
2017-09-17,13,False
2017-09-24,10,False
2017-10-01,7,False
2017-10-08,7,False
2017-10-15,30,False
2017-10-22,16,False
2017-10-29,10,False
2017-11-05,10,False
2017-11-12,16,False
2017-11-19,32,False
2017-11-26,25,False
2017-12-03,6,False
2017-12-10,16,False
2017-12-17,100,True
